Time,TimeRel,port,servo1,servo10,servo11,servo12,servo13,servo14,servo15,servo16,servo2,servo3,servo4,servo5,servo6,servo7,servo8,servo9,phi,theta,xacc,xgyro,yacc,ygyro,zacc,zgyro,ch1,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,rssi
499.62,0.0,0.0,1471.0,2053.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.0,1560.0,1180.0,1214.0,1000.0,1501.0,0.048935,-0.065979,-64.0,-21.0,48.0,-33.0,978.0,-10.0,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1096.0,1090.0,468.0,524.0,173.0,993.0,254.0
499.67,0.05,0.0,1471.0,2077.090909,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.454545,1560.0,1180.0,1214.0,1000.0,1501.0,0.055472,-0.059352,-58.166667,-4.333333,54.666667,-14.666667,988.0,2.5,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1096.0,1090.0,468.0,524.0,173.0,993.0,254.0
499.72,0.1,0.0,1471.0,2101.181818,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.909091,1560.0,1180.0,1214.0,1000.0,1501.0,0.06201,-0.052726,-52.333333,12.333333,61.333333,3.666667,998.0,15.0,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1096.0,1090.0,468.0,524.0,173.0,993.0,254.0
499.77,0.15,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1563.0,1560.0,1180.0,1214.0,1000.0,1501.0,0.064502,-0.052827,-52.5,-20.0,64.0,16.5,998.0,1.0,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1096.0,1090.0,468.0,524.0,173.0,993.0,254.0
499.82,0.2,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1563.0,1560.0,1180.0,1214.0,1000.0,1501.0,0.065385,-0.055817,-55.0,-28.333333,64.666667,9.0,991.333333,-8.666667,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1096.0,1090.0,468.0,524.0,173.0,993.0,254.0
499.87,0.25,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.727273,1560.0,1180.0,1214.0,1000.0,1501.0,0.066581,-0.055474,-54.333333,21.166667,65.333333,-16.5,989.166667,11.0,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1095.181818,1090.0,468.0,524.0,173.0,993.0,254.0
499.92,0.3,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.272727,1560.0,1180.0,1214.0,1000.0,1501.0,0.062504,-0.051387,-51.0,-38.0,62.0,-14.0,1005.0,16.0,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1093.818182,1090.0,468.0,524.0,173.0,993.0,254.0
499.97,0.35,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.181818,1560.0,1180.0,1214.0,1000.0,1501.0,0.062287,-0.051507,-51.0,-8.0,62.0,-3.166667,998.333333,11.833333,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1093.545455,1090.0,468.0,524.0,173.0,993.0,254.0
500.02,0.4,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.636364,1560.0,1180.0,1214.0,1000.0,1501.0,0.066951,-0.050953,-51.0,-14.666667,66.666667,-9.666667,1001.666667,0.333333,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1094.909091,1090.0,468.0,524.0,173.0,993.0,254.0
500.07,0.45,0.0,1471.0,2106.0,1501.0,1501.0,0.0,0.0,0.0,0.0,1505.0,1001.0,1562.909091,1560.0,1180.0,1214.0,1000.0,1501.0,0.066056,-0.054041,-54.0,-36.5,65.5,-5.0,998.0,-6.5,944.0,1984.0,993.0,993.0,993.0,993.0,993.0,993.0,0.0,0.0,1001.0,175.0,1095.727273,1090.0,468.0,524.0,173.0,993.0,254.0
